,y_train,y_train_pred,y_qda_train_pred_proba,y_qda_train_pred
150,0,,1.0,0
472,1,,1.796856228111642e-189,1
640,1,,3.439379572709162e-32,1
1552,1,,2.050551184844603e-09,1
1473,0,,1.0,0
550,0,,1.0,0
928,0,,7.585826324470156e-96,1
488,0,,0.0,1
1419,0,,1.0,0
1171,1,,1.0442313574566333e-145,1
146,0,,1.0,0
402,1,,1.8848258738738677e-181,1
954,1,,3.6633142574200115e-90,1
1468,0,,1.0,0
659,1,,9.661708489728885e-34,1
463,1,,2.5683409941501785e-196,1
186,0,,1.0,0
1147,1,,3.553497918439115e-254,1
1224,0,,5.062554045915044e-30,1
608,0,,1.3295328457093454e-31,1
143,0,,1.0,0
751,0,,2.432372157046573e-32,1
981,0,,3.4133071556127964e-87,1
197,1,,1.0,0
883,1,,5.897720354971935e-100,1
279,1,,0.0,1
293,0,,0.0,1
1427,0,,1.0,0
400,1,,1.8815400597482325e-181,1
122,1,,0.0,1
1207,1,,2.180598489570942e-152,1
202,1,,1.0,0
835,1,,6.756497992419885e-90,1
246,1,,0.0,1
1485,1,,1.0,0
1471,0,,1.0,0
1153,0,,4.3339448279540735e-150,1
384,0,,1.047543574743395e-177,1
1381,1,,9.931730443077621e-26,1
854,0,,2.0630433974692814e-79,1
219,0,,1.0,0
641,1,,8.741221465538452e-34,1
1,0,,1.0,0
112,0,,1.0,0
698,0,,1.8677223823242612e-30,1
1494,0,,1.0,0
951,1,,3.756610225193523e-90,1
1376,0,,1.0361337969572353e-25,1
1291,0,,8.827553131889517e-47,1
1416,0,,1.0,0
441,1,,6.31908480875067e-193,1
1136,1,,4.180415481822609e-254,1
1256,0,,8.811326678425081e-28,1
663,0,,8.630504623961997e-31,1
1435,0,,1.0,0
1257,0,,8.769858818666664e-28,1
1391,0,,1.0,0
317,1,,3.3186056672283814e-193,1
648,0,,9.107840856857225e-34,1
709,0,,1.3623419026739268e-34,1
1382,1,,9.84632084719747e-26,1
1282,1,,2.0894091618824318e-50,1
972,1,,6.974663349016047e-80,1
627,0,,3.42415116336076e-32,1
632,0,,3.433833237745752e-32,1
1306,1,,8.220662892060524e-47,1
1248,0,,9.131830113189096e-28,1
1527,1,,1.896822119502246e-08,1
1254,0,,8.893361533118943e-28,1
1371,1,,1.079444816465815e-25,1
1354,1,,4.1622148196543335e-20,1
1504,0,,1.0,0
1446,0,,1.0,0
795,0,,0.9999992141536012,0
645,0,,8.95187100074208e-34,1
1012,0,,1.0,0
556,0,,1.0,0
681,0,,1.9609505533647642e-30,1
577,0,,1.0,0
1109,1,,6.389853440862286e-260,1
1266,0,,8.38422517577156e-28,1
1183,1,,9.307178634013102e-146,1
524,0,,1.0,0
1059,0,,1.3990518508374896e-181,1
540,0,,1.0,0
1194,1,,2.61964120088797e-152,1
748,0,,2.477565447545349e-32,1
1449,1,,1.0,0
484,1,,1.6609033550146288e-189,1
95,0,,5.303812620190743e-104,1
1020,1,,1.9048917498245682e-176,1
563,0,,1.0,0
1264,0,,8.471740161534825e-28,1
742,0,,2.566613914667718e-32,1
863,0,,1.5643382178029957e-86,1
891,1,,5.675333429042458e-100,1
1038,1,,3.6171512048147044e-191,1
206,1,,1.0,0
392,1,,1.8642850186356617e-181,1
794,0,,0.9999992213682695,0
870,0,,1.4606011844645919e-86,1
397,1,,1.8758362647441007e-181,1
766,0,,0.9999999999844529,0
1439,0,,1.0,0
1241,0,,2.334616330671663e-24,1
1028,1,,3.675344379145455e-191,1
642,1,,8.794151136146692e-34,1
612,0,,1.3556423772544387e-31,1
960,1,,3.478367306567281e-90,1
725,0,,1.6234009496420863e-31,1
683,0,,1.951379264232202e-30,1
98,1,,1.0,0
804,0,,0.9999999979455616,0
406,1,,1.5677265091440267e-173,1
502,0,,6.962173731767134e-21,1
1071,0,,8.201700498492167e-175,1
1056,0,,1.4243670784244158e-181,1
929,0,,7.485275054423884e-96,1
779,1,,0.9999999999834128,0
200,1,,1.0,0
134,0,,1.0,0
1051,0,,1.4659429640011267e-181,1
40,0,,0.0,1
1017,0,,2.196557057021486e-68,1
230,1,,1.0,0
378,1,,1.016567468201161e-177,1
288,1,,0.0,1
418,1,,1.5131970920046553e-173,1
391,1,,1.861671407600491e-181,1
592,0,,7.063809239880246e-35,1
1162,0,,4.125096581267239e-150,1
1086,0,,7.021399922523165e-175,1
647,0,,9.056056982274206e-34,1
1152,0,,4.356576725734987e-150,1
1367,1,,3.9381893633442885e-20,1
520,1,,5.975589376636925e-106,1
64,0,,1.0,0
14,0,,1.0,0
1180,1,,9.586059660236683e-146,1
1064,0,,1.356339991287231e-181,1
492,1,,0.0,1
379,1,,1.0218084430277773e-177,1
187,1,,0.0,1
763,0,,0.9999999999846629,0
216,0,,1.0,0
791,0,,0.999999242363474,0
1076,0,,7.798603103059116e-175,1
878,0,,1.3459238675723319e-86,1
337,1,,2.2621070028047633e-196,1
719,1,,1.3908039647669673e-34,1
295,0,,0.0,1
1016,0,,1.0,0
1275,1,,2.0984700243342343e-50,1
455,1,,2.6157661036263216e-196,1
1564,1,,1.9090019162434695e-09,1
815,0,,0.9999999976227065,0
269,1,,0.0,1
995,1,,2.7059762046973356e-87,1
201,0,,1.0,0
161,0,,1.0,0
729,0,,1.612581688070637e-31,1
401,1,,1.883234832442372e-181,1
702,1,,1.3383115667220268e-34,1
1129,1,,4.619505778954293e-254,1
565,0,,1.0,0
1413,0,,1.0,0
1021,1,,4.17508094622968e-100,1
1025,0,,5.181154914536589e-107,1
1411,0,,1.0,0
1104,1,,5.4888794017469405e-261,1
205,0,,1.0,0
34,0,,0.0,1
775,0,,0.9999999999837563,0
508,0,,7.098171169740406e-28,1
1451,1,,1.0,0
1478,0,,1.0,0
1542,1,,1.0857761479239227e-18,1
1390,0,,1.0,0
91,0,,1.0,0
1363,1,,4.0098334783821327e-20,1
897,1,,5.501146156707295e-100,1
564,0,,1.0,0
1369,1,,1.0968431321522806e-25,1
776,0,,0.9999999999836726,0
241,1,,1.0,0
13,0,,1.0,0
315,1,,3.261283683265174e-193,1
600,0,,7.570369909496387e-35,1
387,1,,1.8502200411390033e-181,1
1297,1,,8.592543816785382e-47,1
166,1,,0.0,1
840,1,,6.6905763749776055e-90,1
20,1,,1.0,0
646,0,,9.004064701401528e-34,1
1508,0,,1.8080496285759353e-08,1
1154,0,,4.31118974247448e-150,1
831,1,,6.802861102277985e-90,1
1267,0,,8.340108649568966e-28,1
562,0,,1.0,0
1526,1,,1.8929942063825236e-08,1
686,0,,1.9362987140139872e-30,1
957,1,,3.570540341412461e-90,1
189,1,,0.0,1
975,1,,6.716565218662109e-80,1
699,0,,1.8614427326983907e-30,1
1499,0,,1.0,0
510,1,,1.1836959858263836e-108,1
1082,0,,7.327435133759274e-175,1
474,1,,1.7744388022428224e-189,1
856,0,,2.0386320476294588e-79,1
747,0,,2.4925373120132447e-32,1
252,1,,0.0,1
21,1,,1.0,0
1337,1,,1.292691620165253e-20,1
459,1,,2.5931032838416604e-196,1
1184,1,,9.215003798564442e-146,1
276,1,,0.0,1
955,1,,3.6323276612136536e-90,1
1215,0,,4.902452702328691e-30,1
385,1,,1.8439028785064568e-181,1
805,0,,0.9999999979187006,0
1437,0,,1.0,0
1515,1,,1.8445825548513757e-08,1
343,1,,2.3220400786886266e-196,1
769,0,,0.999999999984232,0
1332,1,,1.2913382988653716e-20,1
130,0,,1.0,0
871,0,,1.4460311142320353e-86,1
1123,1,,5.5443141531730305e-260,1
1396,0,,1.0,0
87,0,,1.0,0
1482,1,,1.0,0
330,1,,2.188569437387993e-196,1
1238,0,,2.3385396021208878e-24,1
466,1,,1.8633231578172983e-189,1
121,0,,1.0,0
1044,1,,3.573088078466912e-191,1
1095,1,,5.804053895680982e-261,1
1130,1,,4.554824950722873e-254,1
1294,1,,8.711444693720474e-47,1
860,0,,1.98933894434404e-79,1
1459,1,,1.0,0
1126,1,,2.4424258379960407e-269,1
